v6,v7,v557,v570,v571,v572,v573,v574,v575,v576,v577,v578,v579,v580,v581,v582,v583,v592,v595,v605,v607,v624
2,BE,9,1,0,1,0,0,1,0,0,1,0,1,1,0,0,17,25,2,0,2
2,BE,9,2,1,0,0,0,1,0,0,1,0,1,0,0,0,21,24,0,0,3
2,BE,6,2,0,0,0,0,1,0,0,1,0,1,1,0,0,20,51,0,0,2
2,BE,8,2,0,1,1,0,0,1,0,1,0,1,1,0,0,22,81,0,0,3
2,BE,9,1,1,0,1,1,0,0,0,1,0,1,0,0,0,23,76,0,0,3
2,BE,9,2,0,0,0,0,0,0,0,1,0,1,1,0,0,12,78,0,0,2
2,BE,8,1,0,0,1,0,1,1,0,0,0,1,1,0,0,20,48,0,0,3
2,BE,10,1,0,1,0,0,1,0,0,0,1,1,1,0,0,14,69,0,0,3
2,BE,9,2,0,0,0,0,0,0,0,1,0,1,1,0,0,24,75,0,0,1
2,BE,10,1,1,1,0,0,1,1,0,1,0,1,1,0,0,14,49,0,0,1
2,BE,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,83,0,0,3
2,BE,10,2,0,1,0,0,1,0,0,1,0,1,1,0,0,16,26,0,1,1
2,BE,7,1,0,0,1,0,1,0,0,0,0,1,0,1,0,18,35,2,0,2
2,BE,8,1,0,0,0,0,0,0,0,1,0,1,1,0,0,14,75,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,0,0,1,0,0,0,17,71,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,24,46,0,0,1
2,BE,8,1,0,1,0,0,1,0,0,1,0,1,1,0,0,26,34,0,0,2
2,BE,9,1,0,0,0,0,0,1,1,0,0,1,0,0,0,20,63,0,0,3
2,BE,7,2,0,0,0,0,1,0,0,1,0,1,1,0,0,21,48,0,0,2
2,BE,7,1,0,0,1,0,1,0,0,0,0,1,1,0,0,14,80,0,0,3
2,BE,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,20,66,0,0,3
2,BE,10,1,1,0,0,0,1,0,0,0,0,1,1,0,0,23,59,0,0,2
2,BE,10,1,1,0,0,0,1,1,0,1,0,1,1,0,0,16,34,1,1,2
2,BE,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,14,51,0,0,2
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,1,0,0,14,74,0,0,3
2,BE,5,2,0,1,0,0,1,0,0,0,0,1,0,0,0,18,41,0,1,3
2,BE,10,2,0,0,0,0,0,0,0,1,0,1,0,0,0,16,77,0,0,2
2,BE,5,2,0,0,0,0,1,0,0,1,1,0,1,0,0,17,64,0,0,2
2,BE,10,3,0,0,0,0,0,0,0,0,0,1,1,0,0,15,64,0,0,2
2,BE,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,21,2,0,1
2,BE,9,2,0,0,0,0,1,0,0,1,0,1,1,0,0,15,43,1,1,2
2,BE,10,1,1,0,1,0,0,0,0,1,0,1,1,0,0,18,49,0,0,3
2,BE,9,2,1,0,0,0,0,0,0,1,0,1,0,0,0,20,54,0,0,2
2,BE,5,2,0,1,0,0,1,0,0,1,1,1,1,0,0,21,31,2,0,2
