country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d8,d11,d40b,d40c,d60
2,BE,7,2,0,0,1,0,1,0,0,1,0,1,1,0,0,22,54,0,0,3
2,BE,8,1,1,1,1,0,1,1,0,0,1,1,1,0,0,25,66,0,0,3
2,BE,6,1,0,1,1,0,1,0,0,1,0,1,0,0,0,17,56,0,1,2
2,BE,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,25,53,0,0,3
2,BE,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,19,33,1,1,3
2,BE,6,1,0,1,0,0,1,0,0,1,0,1,1,0,0,12,72,0,0,2
2,BE,7,2,0,0,0,0,1,0,0,1,0,1,1,0,0,22,83,0,0,3
2,BE,3,2,0,0,1,0,0,0,0,0,1,1,1,0,0,23,62,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,18,86,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,20,77,0,0,3
2,BE,6,2,0,1,1,0,1,0,0,1,0,1,1,0,0,18,64,0,0,3
2,BE,8,2,1,0,1,0,1,0,0,1,0,1,1,0,0,21,46,0,0,3
2,BE,10,1,1,0,0,0,0,0,1,1,0,1,0,0,0,18,44,1,1,1
2,BE,7,2,0,1,1,1,1,0,0,1,0,1,0,0,0,23,64,0,0,2
2,BE,7,1,0,0,1,0,0,0,1,1,0,1,1,0,0,20,59,0,0,3
2,BE,10,1,1,0,0,0,1,0,1,1,0,1,0,0,0,19,60,0,0,2
2,BE,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,18,67,2,0,2
2,BE,7,2,0,0,0,0,1,0,0,0,0,0,0,1,0,23,63,0,0,2
2,BE,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,21,77,0,0,2
2,BE,8,1,1,0,0,0,1,0,0,0,0,1,1,0,0,19,20,0,0,2
2,BE,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,25,43,0,0,1
2,BE,7,2,0,0,0,0,1,0,0,1,1,1,1,0,0,22,37,1,0,1
2,BE,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,14,78,0,0,2
2,BE,8,2,0,0,0,0,1,0,0,1,0,1,1,0,0,14,49,0,0,2
2,BE,7,2,0,0,0,0,1,0,0,1,0,1,1,0,0,14,90,0,0,3
2,BE,10,1,1,0,1,0,0,1,0,0,0,1,1,0,0,18,45,0,0,2
2,BE,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,25,28,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,17,56,0,0,2
2,BE,8,1,0,0,1,0,0,1,0,1,0,1,1,0,0,25,29,2,0,2
2,BE,7,2,0,0,1,0,1,0,1,1,0,1,1,0,0,18,46,0,0,2
2,BE,8,2,0,0,0,0,1,1,0,1,1,1,1,0,0,18,30,2,0,3
2,BE,7,1,0,1,0,0,1,0,0,1,0,1,1,0,0,22,60,0,0,1
2,BE,10,1,0,0,0,0,0,0,0,0,0,1,1,1,0,21,39,3,1,2
2,BE,9,2,0,0,0,0,1,0,0,0,0,1,1,0,0,19,51,0,0,2
2,BE,6,1,1,1,0,0,0,1,0,1,0,1,1,0,0,21,67,0,0,3
