country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,60,14,0,0,3
2,BE,6,1,1,0,1,1,1,0,0,1,1,1,1,0,0,8,46,20,1,0,1
2,BE,10,1,1,0,1,0,0,0,0,1,0,1,1,0,0,7,48,21,0,1,3
2,BE,9,1,0,0,1,0,1,0,0,1,0,1,0,0,0,5,56,25,0,0,3
2,BE,7,1,0,0,0,0,1,1,0,1,0,1,0,0,0,5,58,19,0,0,1
2,BE,11,2,0,0,0,0,0,0,0,1,0,1,1,0,0,5,79,12,0,0,2
2,BE,9,2,1,1,0,0,1,1,0,0,0,1,1,0,0,2,28,23,0,0,3
2,BE,10,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5,42,17,0,0,2
2,BE,10,2,0,0,1,0,1,1,0,1,0,1,0,0,0,2,80,12,0,0,2
2,BE,7,2,1,1,0,0,0,0,0,1,0,1,0,0,0,98,65,18,0,0,3
2,BE,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,17,98,1,1,3
2,BE,10,1,0,0,0,0,1,1,0,1,0,1,1,0,0,3,57,17,0,0,2
2,BE,10,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,87,14,0,0,3
2,BE,10,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,45,26,2,0,3
2,BE,10,2,0,1,0,0,1,1,0,1,0,1,1,0,0,98,37,18,0,3,2
2,BE,10,1,1,0,1,0,1,0,0,1,0,1,1,0,0,10,56,17,0,0,2
2,BE,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,98,75,24,9,9,3
2,BE,6,2,0,0,0,0,1,0,0,1,0,1,1,0,0,10,66,18,0,0,3
2,BE,5,1,1,0,1,0,0,0,1,1,0,1,1,0,0,5,37,19,1,0,3
2,BE,6,2,0,0,0,0,1,0,0,1,1,1,0,0,0,97,23,98,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,1,0,1,1,0,0,3,66,20,0,0,2
2,BE,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,42,16,0,0,3
2,BE,7,2,0,0,0,0,1,0,1,1,0,1,1,0,0,4,40,18,2,0,3
2,BE,8,2,0,1,0,0,1,0,0,1,1,1,1,0,0,4,18,98,0,3,3
2,BE,8,1,0,1,1,0,1,0,1,1,0,1,1,0,0,5,52,22,0,0,3
2,BE,7,2,1,0,1,0,1,0,0,1,0,1,1,0,0,5,49,18,0,0,3
2,BE,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,60,18,0,0,2
2,BE,7,1,0,1,0,0,1,0,0,1,0,1,1,0,0,4,60,22,0,0,2
2,BE,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,57,21,0,0,3
2,BE,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,98,17,98,0,0,7
2,BE,6,1,0,1,1,0,1,0,0,1,1,1,1,0,0,97,54,23,0,0,2
2,BE,8,2,0,0,1,1,1,0,0,1,0,1,0,0,0,6,62,15,0,0,2
2,BE,7,2,0,1,1,0,1,1,1,1,0,1,1,0,0,4,76,14,0,0,3
2,BE,5,2,1,1,1,0,1,0,0,1,0,1,1,0,0,8,67,18,0,0,3
2,BE,6,1,0,1,1,0,1,1,0,1,1,1,1,0,0,5,79,14,0,0,3
2,BE,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,56,12,0,0,3
2,BE,7,1,0,0,1,0,0,1,0,0,0,1,1,0,0,4,62,17,0,0,3
2,BE,8,1,0,0,0,0,1,1,0,0,0,1,1,0,0,7,48,16,0,0,3
2,BE,9,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,66,24,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,7,79,21,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,5,62,16,0,0,3
2,BE,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5,72,14,0,0,3
2,BE,3,1,0,0,0,0,1,0,0,1,0,1,1,0,0,5,53,16,2,0,2
2,BE,10,2,0,0,0,0,1,1,0,1,0,1,1,0,0,1,85,23,0,0,3
2,BE,8,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,76,17,0,0,2
2,BE,9,1,0,1,1,1,1,0,0,1,1,1,1,0,0,2,22,20,0,0,2
2,BE,10,1,0,0,0,0,1,1,0,0,1,1,1,0,0,4,43,22,2,0,2
2,BE,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0,6,84,14,0,0,2
2,BE,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,67,15,0,0,3
2,BE,8,1,1,1,0,1,1,1,0,1,0,1,1,0,0,5,58,22,0,0,3
2,BE,7,2,0,1,1,0,0,0,0,1,0,1,1,0,0,5,70,14,0,0,3
2,BE,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,5,85,14,0,0,3
2,BE,7,2,0,0,1,0,1,1,0,0,1,1,1,0,0,6,53,20,0,0,3
2,BE,6,1,0,0,1,1,1,1,0,1,0,0,0,0,0,5,82,15,0,0,3
2,BE,6,2,0,1,1,0,1,0,1,1,0,1,1,0,0,7,45,18,0,2,3
2,BE,10,1,0,0,1,0,1,0,1,1,0,1,1,0,0,7,60,20,0,0,2
