country,isocntry,d11,qc2,qc5,qc6.1,qc6.2,qc6.3,qc6.4,qc6.5,qc6.6,qc6.7,qc6.8,qc6.9,qc6.10,qc6.11,qc6.12,qc6.13,qc6.14,qc6.15,d1,d8,d40b,d40c,d60
2,BE,32,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,16,0,0,1
2,BE,47,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,19,0,0,3
2,BE,17,8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,98,0,0,2
2,BE,20,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,98,0,0,3
2,BE,60,8,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,20,0,0,3
2,BE,39,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,21,0,0,1
2,BE,28,7,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,5,22,1,0,1
2,BE,54,10,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,18,0,0,3
2,BE,56,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,14,0,0,3
2,BE,57,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,18,0,0,3
2,BE,34,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,17,2,0,2
2,BE,54,6,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,19,0,0,2
2,BE,61,7,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,17,0,0,3
2,BE,22,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,98,0,0,3
2,BE,87,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,14,0,0,2
2,BE,57,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,21,0,0,2
2,BE,38,9,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,17,0,1,1
2,BE,54,8,2,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,8,19,0,0,3
2,BE,26,10,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,24,0,0,3
2,BE,41,8,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,20,0,1,2
2,BE,59,10,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,17,0,0,3
2,BE,16,10,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,98,0,0,3
2,BE,66,10,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,10,14,0,0,1
2,BE,83,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,18,0,0,2
2,BE,50,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,18,0,0,1
2,BE,62,8,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,5,18,0,0,2
2,BE,44,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,22,0,0,3
2,BE,65,6,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,6,17,0,0,2
2,BE,61,9,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,4,20,0,0,2
2,BE,31,10,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,8,18,0,0,3
2,BE,38,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,19,0,0,1
2,BE,61,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,0,0,3
2,BE,62,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,14,0,0,1
2,BE,42,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,18,0,0,2
2,BE,61,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,1
2,BE,54,5,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,5,23,0,0,1
2,BE,56,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,2
2,BE,26,8,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,19,0,0,2
2,BE,20,10,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,98,0,0,3
2,BE,51,8,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,18,0,0,2
2,BE,19,10,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,5,98,0,0,3
2,BE,41,10,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,4,23,1,1,3
2,BE,40,10,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,23,1,1,3
2,BE,27,7,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,5,98,1,1,2
2,BE,62,10,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,3,25,0,0,3
2,BE,52,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,18,0,0,1
2,BE,57,10,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,19,0,0,3
2,BE,29,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,19,0,0,3
2,BE,55,8,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,21,0,0,2
2,BE,19,10,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,98,0,0,2
2,BE,67,9,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,4,14,0,0,3
2,BE,65,10,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,17,0,0,2
2,BE,63,7,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,9,18,0,0,3
2,BE,57,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,15,0,0,3
2,BE,36,10,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,21,1,0,1
2,BE,54,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,22,0,0,1
2,BE,44,5,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,5,19,0,1,2
2,BE,42,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,20,2,1,2
2,BE,68,9,2,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,7,23,0,0,3
2,BE,61,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,15,0,0,3
2,BE,94,6,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,14,0,0,2
2,BE,88,7,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,14,0,0,3
2,BE,83,4,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,15,0,0,2
2,BE,51,5,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,5,18,0,0,2
2,BE,78,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,14,0,0,3
2,BE,21,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,97,98,2,0,3
2,BE,56,10,2,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,4,16,0,0,1
2,BE,63,7,2,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,5,18,0,0,3
2,BE,74,10,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,18,0,0,3
2,BE,70,10,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,97,0,0,3
2,BE,70,10,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5,14,0,0,3
2,BE,16,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,98,1,1,3
2,BE,19,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,98,0,0,3
2,BE,45,9,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,19,0,1,2
2,BE,54,10,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,4,18,0,0,3
2,BE,64,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,99,0,0,3
2,BE,63,8,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,97,14,0,0,3
2,BE,40,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,18,1,0,3
2,BE,54,10,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5,21,0,0,3
2,BE,55,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,18,0,0,3
2,BE,54,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97,16,0,0,3
2,BE,88,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,15,0,0,3
2,BE,16,9,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,98,0,1,3
2,BE,64,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,16,0,0,3
2,BE,72,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,19,0,0,3
2,BE,75,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,16,0,0,3
2,BE,80,7,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,21,0,0,2
2,BE,69,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,21,0,0,2
2,BE,54,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,16,0,2,2
2,BE,58,6,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6,21,0,0,3
2,BE,80,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,18,0,0,3
