surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,0,0,3,22,,7,2,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,54
80.2,2013,2,BE,0,0,3,25,,8,1,1,,1,1,0,1,1,,0,0,1,1,1,0,0,,66
80.2,2013,2,BE,0,1,2,17,,6,1,0,,1,1,0,1,0,,0,1,0,1,0,0,0,,56
80.2,2013,2,BE,0,0,3,25,,3,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,53
80.2,2013,2,BE,1,1,3,19,,5,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,33
80.2,2013,2,BE,0,0,2,12,,6,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,72
80.2,2013,2,BE,0,0,3,22,,7,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,83
80.2,2013,2,BE,0,0,3,23,,3,2,0,,0,1,0,0,0,,0,0,1,1,1,0,0,,62
80.2,2013,2,BE,0,0,3,18,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,86
80.2,2013,2,BE,0,0,3,20,,6,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,77
80.2,2013,2,BE,0,0,3,18,,6,2,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,64
80.2,2013,2,BE,0,0,3,21,,8,2,1,,0,1,0,1,0,,0,1,0,1,1,0,0,,46
80.2,2013,2,BE,1,1,1,18,,10,1,1,,0,0,0,0,0,,1,1,0,1,0,0,0,,44
80.2,2013,2,BE,0,0,2,23,,7,2,0,,1,1,1,1,0,,0,1,0,1,0,0,0,,64
80.2,2013,2,BE,0,0,3,20,,7,1,0,,0,1,0,0,0,,1,1,0,1,1,0,0,,59
80.2,2013,2,BE,0,0,2,19,,10,1,1,,0,0,0,1,0,,1,1,0,1,0,0,0,,60
80.2,2013,2,BE,2,0,2,18,,6,2,0,,1,0,0,0,0,,0,0,0,0,0,0,0,,67
80.2,2013,2,BE,0,0,2,23,,7,2,0,,0,0,0,1,0,,0,0,0,0,0,1,0,,63
80.2,2013,2,BE,0,0,2,21,,8,2,0,,0,0,0,0,0,,0,1,0,0,1,0,0,,77
80.2,2013,2,BE,0,0,2,19,,8,1,1,,0,0,0,1,0,,0,0,0,1,1,0,0,,20
80.2,2013,2,BE,0,0,1,25,,3,1,1,,0,0,1,0,0,,0,0,0,1,1,0,0,,43
80.2,2013,2,BE,1,0,1,22,,7,2,0,,0,0,0,1,0,,0,1,1,1,1,0,0,,37
80.2,2013,2,BE,0,0,2,14,,9,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,78
80.2,2013,2,BE,0,0,2,14,,8,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,49
80.2,2013,2,BE,0,0,3,14,,7,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,90
80.2,2013,2,BE,0,0,2,18,,10,1,1,,0,1,0,0,1,,0,0,0,1,1,0,0,,45
80.2,2013,2,BE,0,0,3,25,,5,1,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,28
80.2,2013,2,BE,0,0,2,17,,6,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,56
80.2,2013,2,BE,2,0,2,25,,8,1,0,,0,1,0,0,1,,0,1,0,1,1,0,0,,29
80.2,2013,2,BE,0,0,2,18,,7,2,0,,0,1,0,1,0,,1,1,0,1,1,0,0,,46
